0,255,0,0,Red
1,0,255,0,Green
2,0,0,255,Blue
3,255,255,0,Yellow
4,0,255,255,Cyan
5,255,0,255,Magenta
6,204,204,204,20% Grey
7,178,178,178,30% Grey
8,153,153,153,40% Grey
9,127,127,127,50% Grey
10,102,102,102,60% Grey
11,76,76,76,70% Grey
12,51,51,51,80% Grey
13,25,25,25,90% Grey
14,0,0,0,Black
15,255,255,255,
16,255,255,255,
17,255,255,255,
18,255,255,255,
19,255,255,255,
20,255,255,255,
21,255,255,255,
22,255,255,255,
23,255,255,255,
24,255,255,255,
25,255,255,255,
26,255,255,255,
27,255,255,255,
28,255,255,255,
29,255,255,255,
30,255,255,255,
31,255,255,255,
32,255,255,255,
33,255,255,255,
34,255,255,255,
35,255,255,255,
36,255,255,255,
37,255,255,255,
38,255,255,255,
39,255,255,255,
40,255,255,255,
41,255,255,255,
42,255,255,255,
43,255,255,255,
44,255,255,255,
45,255,255,255,
46,255,255,255,
47,255,255,255,
48,255,255,255,
49,255,255,255,
50,255,255,255,
51,255,255,255,
52,255,255,255,
53,255,255,255,
54,255,255,255,
55,255,255,255,
56,255,255,255,
57,255,255,255,
58,255,255,255,
59,255,255,255,
60,255,255,255,
61,255,255,255,
62,255,255,255,
63,255,255,255,
